Source,Target,Weight
BRANDON_STARK,CATELYN,5
BRANDON_STARK,JON,2
BRANDON_STARK,RICKARD_STARK,2
BRONN,KEVAN,2
BRONN,MARILLION,2
CATELYN,DAENERYS,2
CATELYN,HOUND,4
CATELYN,STEVRON_FREY,2
CERSEI,JEOR,2
CERSEI,LYANNA,2
CERSEI,MERYN_TRANT,12
CERSEI,ROS,2
CERSEI,STANNIS,9
CERSEI,YOREN,2
DAENERYS,JHIQUI,2
DAENERYS,SANSA,2
DAREON,GRENN,2
DAREON,JEOR,2
DAREON,LUKE,2
DAREON,MAESTER_AEMON,2
DAREON,RAST,2
DOREAH,IROGENIA,2
DOREAH,JHIQUI,2
DOREAH,JORAH,9
DROGO,IRRI,2
DROGO,ROBERT,2
GALBART_GLOVER,GREATJON_UMBER,2
GALBART_GLOVER,JONOS_BRACKEN,2
GALBART_GLOVER,ROBB,2
GENDRY,VARYS,2
GENDRY,YOREN,9
GREATJON_UMBER,NED,2
GREATJON_UMBER,RENLY,2
GREATJON_UMBER,RICKARD_KARSTARK,2
GREATJON_UMBER,STANNIS,2
GREATJON_UMBER,WALDER,2
HIGH_SEPTON,NED,2
HODOR,OSHA,38
HOUND,JAIME,5
HOUND,ROBB,4
HOUND,YOREN,2
HUGH_OF_THE_VALE,JON_ARRYN,2
HUGH_OF_THE_VALE,MOUNTAIN,2
HUGH_OF_THE_VALE,SANSA,2
ILLYRIO,JORAH,2
ILYN_PAYNE,MERYN_TRANT,4
ILYN_PAYNE,VARYS,2
JAIME,JON_ARRYN,2
JAIME,RICKARD_STARK,2
JAIME,SANSA,16
JAIME,TYSHA,2
JANOS_SLYNT,LITTLEFINGER,2
JANOS_SLYNT,PYCELLE,2
JAREMY_RYKKER,JEOR,2
JAREMY_RYKKER,OTHELL_YARWYCK,2
JAREMY_RYKKER,PYP,2
JEOR,JOFFREY,2
JOANNA,TYRION,2
JOFFREY,JON,2
JOFFREY,TOMMEN,26
JOFFREY,WILL,2
JON,RODRIK_CASSEL,2
JON,ROS,2
JON_ARRYN,VARYS,2
JORAH,LITTLE_BIRD,2
JORAH,NED,2
JORAH,VARYS,16
JORY_CASSEL,MHAEGEN,2
JORY_CASSEL,THEON,2
JOYEUSE,WALDER,6
KEVAN,LEO_LEFFORD,2
KEVAN,SHAGGA,2
LANCEL,RENLY,2
LEO_LEFFORD,TYRION,2
LITTLEFINGER,LORAS,19
LITTLEFINGER,MHAEGEN,2
LITTLEFINGER,YOREN,2
LORAS,MACE,8
LUKE,PYP,2
MAESTER_LUWIN,ROBERT,2
MAESTER_LUWIN,RODRIK_CASSEL,2
MAESTER_LUWIN,SANSA,2
MARILLION,MERYN_TRANT,2
MARILLION,YOREN,2
MELESSA,SAM,25
MORD,RODRIK_CASSEL,2
NED,ROOSE_BOLTON,2
NED,ROS,2
NED,STEFFON,2
NED,VARLY,2
OLD_NAN,THEON,2
OTHELL_YARWYCK,PYP,2
OTHOR,PYP,2
OTHOR,SAM,2
PYCELLE,TYWIN,28
PYCELLE,YOREN,2
RANDYLL,SAM,27
RENLY,TOMARD,2
RHAEGAR,ROBERT,6
RHAEGO,VISERYS,2
RICKARD_KARSTARK,ROBB,52
RICKARD_KARSTARK,THEON,4
ROBB,STANNIS,11
ROBB,VARYS,4
ROBERT,ROS,2
